DATE,CFS
2019-03-01,1788.8541666666667
2019-03-02,1466.3541666666667
2019-03-03,1244.8958333333333
2019-03-04,1081.0625
2019-03-05,927.0842105263158
2019-03-06,793.421052631579
2019-03-07,720.3676470588235
2019-03-08,714.825
2019-03-09,710.8191489361702
2019-03-10,734.15625
2019-03-11,747.84375
2019-03-12,757.25
2019-03-13,678.8020833333334
2019-03-14,696.8125
2019-03-15,1053.0833333333333
2019-03-16,1071.0833333333333
2019-03-17,819.2291666666666
2019-03-18,707.9166666666666
2019-03-19,536.0
2019-03-20,445.84375
2019-03-21,526.4791666666666
2019-03-22,860.0416666666666
2019-03-23,719.4895833333334
2019-03-24,607.3229166666666
2019-03-25,603.7604166666666
2019-03-26,553.6770833333334
2019-03-27,505.8854166666667
2019-03-28,494.2395833333333
2019-03-29,650.6875
2019-03-30,819.9791666666666
2019-03-31,1048.46875
2019-04-01,1273.0208333333333
2019-04-02,1110.7291666666667
2019-04-03,1037.9479166666667
2019-04-04,1134.2708333333333
2019-04-05,1105.0
2019-04-06,1111.9791666666667
2019-04-07,1192.3958333333333
2019-04-08,1234.2708333333333
2019-04-09,1133.9583333333333
2019-04-10,1034.6875
2019-04-11,1008.4479166666666
2019-04-12,1216.25
2019-04-13,1653.4375
2019-04-14,2083.5416666666665
2019-04-15,3693.5416666666665
2019-04-16,4035.0
2019-04-17,3860.7291666666665
2019-04-18,3435.7291666666665
2019-04-19,3072.5
2019-04-20,4826.25
2019-04-21,4783.333333333333
2019-04-22,4284.479166666667
2019-04-23,3672.1875
2019-04-24,3178.0208333333335
2019-04-25,2738.3333333333335
2019-04-26,2653.9583333333335
2019-04-27,3328.125
2019-04-28,3136.4583333333335
2019-04-29,2922.5
2019-04-30,2735.5208333333335
2019-05-01,2525.1041666666665
2019-05-02,2301.875
2019-05-03,2226.4583333333335
2019-05-04,2370.2083333333335
2019-05-05,2325.5208333333335
2019-05-06,2251.6666666666665
2019-05-07,2123.4375
2019-05-08,1986.6666666666667
2019-05-09,1916.5625
2019-05-10,1900.625
2019-05-11,1858.9583333333333
2019-05-12,2010.625
2019-05-13,2395.9375
2019-05-14,3029.5833333333335
2019-05-15,2920.3125
2019-05-16,2874.375
2019-05-17,2764.4791666666665
2019-05-18,2560.0
2019-05-19,2304.5833333333335
2019-05-20,3186.0416666666665
2019-05-21,3061.0416666666665
2019-05-22,2709.4791666666665
2019-05-23,2474.5833333333335
2019-05-24,2075.5208333333335
2019-05-25,1230.5208333333333
2019-05-26,1060.8958333333333
2019-05-27,928.7916666666666
2019-05-28,947.1041666666666
2019-05-29,1266.25
2019-05-30,1125.6875
2019-05-31,1112.6770833333333
2019-06-01,940.1770833333334
2019-06-02,915.1666666666666
2019-06-03,895.6770833333334
2019-06-04,781.2708333333334
2019-06-05,747.2395833333334
2019-06-06,733.4479166666666
2019-06-07,697.1145833333334
2019-06-08,665.0
2019-06-09,644.8229166666666
2019-06-10,638.9583333333334
2019-06-11,774.15625
2019-06-12,662.3854166666666
2019-06-13,659.375
2019-06-14,657.3958333333334
2019-06-15,628.34375
2019-06-16,987.5625
2019-06-17,1011.8229166666666
2019-06-18,1053.8645833333333
2019-06-19,1650.2083333333333
2019-06-20,1997.9166666666667
2019-06-21,2175.3125
2019-06-22,2011.5625
2019-06-23,1916.4583333333333
2019-06-24,1826.6666666666667
2019-06-25,1550.5208333333333
2019-06-26,1295.4166666666667
2019-06-27,1075.5520833333333
2019-06-28,883.9270833333334
2019-06-29,766.3645833333334
2019-06-30,712.0208333333334
2019-07-01,672.8958333333334
2019-07-02,660.40625
2019-07-03,655.1979166666666
2019-07-04,647.2604166666666
2019-07-05,680.7291666666666
2019-07-06,713.9895833333334
2019-07-07,646.0208333333334
2019-07-08,639.7916666666666
2019-07-09,617.0729166666666
2019-07-10,683.28125
2019-07-11,583.3854166666666
2019-07-12,580.9895833333334
2019-07-13,577.8645833333334
2019-07-14,574.9479166666666
2019-07-15,601.90625
2019-07-16,752.5729166666666
2019-07-17,829.1458333333334
2019-07-18,723.71875
2019-07-19,737.6770833333334
2019-07-20,1030.7083333333333
2019-07-21,918.7291666666666
2019-07-22,673.6979166666666
2019-07-23,788.9895833333334
2019-07-24,664.5208333333334
2019-07-25,636.5208333333334
2019-07-26,626.2708333333334
2019-07-27,636.2916666666666
2019-07-28,696.1666666666666
2019-07-29,660.5104166666666
2019-07-30,716.3333333333334
2019-07-31,603.8541666666666
2019-08-01,606.15625
2019-08-02,651.0625
2019-08-03,713.1875
2019-08-04,623.6458333333334
2019-08-05,606.9375
2019-08-06,641.4375
2019-08-07,707.1979166666666
2019-08-08,660.65625
2019-08-09,662.8333333333334
2019-08-10,632.1666666666666
2019-08-11,628.1875
2019-08-12,635.6979166666666
2019-08-13,623.0625
2019-08-14,614.4375
2019-08-15,616.1770833333334
2019-08-16,774.0729166666666
2019-08-17,682.4375
2019-08-18,683.6875
2019-08-19,784.8854166666666
2019-08-20,688.0520833333334
2019-08-21,675.1770833333334
2019-08-22,670.4583333333334
2019-08-23,693.0520833333334
2019-08-24,652.6041666666666
2019-08-25,640.4375
2019-08-26,635.0208333333334
2019-08-27,630.5416666666666
2019-08-28,632.1041666666666
2019-08-29,634.34375
2019-08-30,792.8854166666666
2019-08-31,844.7083333333334
2019-09-01,614.71875
2019-09-02,625.1875
2019-09-03,627.53125
2019-09-04,687.09375
2019-09-05,944.5416666666666
2019-09-06,608.1979166666666
2019-09-07,572.71875
2019-09-08,897.6145833333334
2019-09-09,1099.375
2019-09-10,1067.0833333333333
